Plate,Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
1,B7,AH18,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,Y,Y
1,B7,AH18,D,UNKNOWN,FAM,NFQ-MGB,35.55124283,33.44608688,2.977140188,,,,FALSE,0.02,TRUE,3,34,,Y,Y,Y
1,B8,AH18,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,B8,AH18,D,UNKNOWN,FAM,NFQ-MGB,31.34093094,33.44608688,2.977140188,,,,FALSE,0.02,TRUE,3,29,,Y,N,Y
1,B9,AH19,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,Y,Y
1,B9,AH19,D,UNKNOWN,FAM,NFQ-MGB,30.64906311,30.45510483,0.274297088,,,,FALSE,0.02,TRUE,3,29,,N,Y,Y
1,B10,AH19,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,B10,AH19,D,UNKNOWN,FAM,NFQ-MGB,30.26114845,30.45510483,0.274297088,,,,FALSE,0.02,TRUE,3,28,,N,N,Y
1,B11,AH20,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,B11,AH20,D,UNKNOWN,FAM,NFQ-MGB,27.59053612,27.64155197,0.072148658,,,,FALSE,0.02,TRUE,3,25,,N,N,Y
1,B12,AH20,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,B12,AH20,D,UNKNOWN,FAM,NFQ-MGB,27.69256973,27.64155197,0.072148658,,,,FALSE,0.02,TRUE,3,26,,N,N,Y
1,C1,AH21,C,UNKNOWN,VIC,NFQ-MGB,36.39110565,36.39110565,,,,,FALSE,0.02,TRUE,3,34,,Y,N,N
1,C1,AH21,D,UNKNOWN,FAM,NFQ-MGB,27.5296917,29.35451889,2.58069396,,,,FALSE,0.02,TRUE,3,25,,Y,N,N
1,C2,AH21,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.39110565,,,,,FALSE,0.02,TRUE,3,39,,Y,Y,Y
1,C2,AH21,D,UNKNOWN,FAM,NFQ-MGB,31.17934418,29.35451889,2.58069396,,,,FALSE,0.02,TRUE,3,29,,Y,Y,Y
1,C3,AH22,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,C3,AH22,D,UNKNOWN,FAM,NFQ-MGB,27.05636597,26.92340469,0.188035637,,,,FALSE,0.02,TRUE,3,25,,N,N,Y
1,C4,AH22,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,C4,AH22,D,UNKNOWN,FAM,NFQ-MGB,26.79044342,26.92340469,0.188035637,,,,FALSE,0.02,TRUE,3,25,,N,N,Y
1,C5,AH23,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,C5,AH23,D,UNKNOWN,FAM,NFQ-MGB,27.815382,27.65872574,0.221546769,,,,FALSE,0.02,TRUE,3,26,,N,N,Y
1,C6,AH23,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,37,,N,N,Y
1,C6,AH23,D,UNKNOWN,FAM,NFQ-MGB,27.50206757,27.65872574,0.221546769,,,,FALSE,0.02,TRUE,3,25,,N,N,Y
1,C7,AH24,C,UNKNOWN,VIC,NFQ-MGB,30.33905792,30.56860161,0.324623793,,,,FALSE,0.02,TRUE,3,29,,N,N,N
1,C7,AH24,D,UNKNOWN,FAM,NFQ-MGB,26.30891609,26.324049,0.021401158,,,,FALSE,0.02,TRUE,3,24,,N,N,N
1,C8,AH24,C,UNKNOWN,VIC,NFQ-MGB,30.79814529,30.56860161,0.324623793,,,,FALSE,0.02,TRUE,3,29,,N,N,N
1,C8,AH24,D,UNKNOWN,FAM,NFQ-MGB,26.3391819,26.324049,0.021401158,,,,FALSE,0.02,TRUE,3,24,,N,N,N
1,C9,AH25,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.14448929,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,C9,AH25,D,UNKNOWN,FAM,NFQ-MGB,26.8838768,26.70733833,0.2496631,,,,FALSE,0.02,TRUE,3,25,,N,N,Y
1,C10,AH25,C,UNKNOWN,VIC,NFQ-MGB,39.14448929,39.14448929,,,,,FALSE,0.02,TRUE,3,35,,N,N,N
1,C10,AH25,D,UNKNOWN,FAM,NFQ-MGB,26.53079987,26.70733833,0.2496631,,,,FALSE,0.02,TRUE,3,25,,N,N,N
1,C11,AH26,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,C11,AH26,D,UNKNOWN,FAM,NFQ-MGB,30.54969597,30.33847809,0.298705846,,,,FALSE,0.02,TRUE,3,28,,N,N,Y
1,C12,AH26,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,C12,AH26,D,UNKNOWN,FAM,NFQ-MGB,30.12726212,30.33847809,0.298705846,,,,FALSE,0.02,TRUE,3,28,,N,N,Y
1,D1,AH28,C,UNKNOWN,VIC,NFQ-MGB,25.6328392,25.63056564,0.003216648,,,,FALSE,0.02,TRUE,3,24,,N,N,N
1,D1,AH28,D,UNKNOWN,FAM,NFQ-MGB,38.734272,38.734272,,,,,FALSE,0.02,TRUE,3,35,,N,N,N
1,D2,AH28,C,UNKNOWN,VIC,NFQ-MGB,25.62829018,25.63056564,0.003216648,,,,FALSE,0.02,TRUE,3,24,,N,N,Y
1,D2,AH28,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.734272,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,D3,AH29,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
