"Number","Site","FAM_mean","VIC_mean","cellnum_C","cellnum_D","D_prop","C_prop","CDratio_log"
50,NA,32.07872963,NA,0,242.404113374647,1,0,-20
51,NA,29.94865036,39.2844162,0.1824608437249,1061.1034792557,0.999828075698706,0.000171924301294151,-8.66828434770007
52,NA,33.77704239,32.4333992,21.063536837483,74.6959237304879,0.780037014488695,0.219962985511305,-1.26588208850915
53,NA,30.746946335,NA,0,610.164174490205,1,0,-20
54,NA,30.484612465,NA,0,731.841559542517,1,0,-20
55,NA,31.73646641,38.665397645,0.280228841708109,307.306312078877,0.999088943095919,0.000911056904081055,-6.99999372717021
56,NA,31.47588253,NA,0,368.141726760191,1,0,-20
57,NA,NA,35.346651075,2.79611543752902,NA,NA,NA,NA
58,NA,33.952093125,39.73065948,0.133917417639284,66.1608963404236,0.997979971432939,0.00202002856706113,-6.20262155398303
59,NA,33.07003784,NA,0,121.934465526469,1,0,-20
60,"Faga'alu",35.57182312,NA,0,21.5285146538335,1,0,-20
61,"Faga'alu",32.912952425,39.83363342,0.124692066193241,135.960859307649,0.999083722960047,0.00091627703995333,-6.99427509657527
62,"Faga'alu",30.402413365,NA,0,774.749782730848,1,0,-20
63,"Faga'alu",34.991916655,NA,0,32.179797557278,1,0,-20
64,"Faga'alu",36.08246231,35.024219515,3.49636422922272,15.1111095419884,0.812098930128163,0.187901069871837,-1.46370656763409
65,"Faga'alu",33.245742795,34.42827225,5.28463103585733,107.952826325782,0.953331422667147,0.0466685773328533,-3.01689153499856
66,"Faga'alu",30.41818428,NA,0,766.326677655997,1,0,-20
67,"Faga'alu",32.26957321,NA,0,212.36861908117,1,0,-20
68,"Faga'alu",30.43236351,NA,0,758.831885146239,1,0,-20
69,"Faga'alu",31.02765465,NA,0,502.279070402067,1,0,-20
70,"Vatia",37.18451309,27.879737855,494.67498755371,7.03956806278709,0.0140310221897728,0.985968977810227,4.25235414254803
71,"Vatia",NA,29.876616475,123.936603249065,NA,NA,NA,NA
72,"Vatia",28.296669005,26.691185,1127.48302576281,3334.67626723474,0.74732344774599,0.25267655225401,-1.08438786583638
73,"Vatia",33.4467659,38.429214475,0.330073797934651,93.9117714549143,0.996497587700569,0.003502412299431,-5.65079475938238
74,"Vatia",34.47018433,NA,0,46.1998310279215,1,0,-20
75,"Vatia",32.17668915,37.622379305,0.57742108449084,226.491147057763,0.997457062907407,0.00254293709259265,-5.97188935447752
76,"Vatia",27.048625945,38.25263214,0.373050502979348,7920.49046745882,0.999952902798775,4.70972012247651e-05,-9.96324988237663
77,"Vatia",31.63648033,38.87931824,0.241610784741448,329.359572279053,0.999266960201734,0.000733039798266392,-7.21757725390541
78,"Vatia",27.768221855,NA,0,4809.85652629341,1,0,-20
79,"Vatia",35.599523545,NA,0,21.1191000762392,1,0,-20
80,"Coconut Point",29.476027485,NA,0,1472.41895809326,1,0,-20
81,"Coconut Point",29.99221134,39.89974976,0.119106597904841,1029.54320577965,0.999884324601888,0.000115675398111655,-9.06460689944856
82,"Coconut Point",30.136725425,NA,0,931.411300001084,1,0,-20
83,"Coconut Point",30.27213955,NA,0,847.964730722721,1,0,-20
84,"Coconut Point",28.885077475,NA,0,2217.81378993929,1,0,-20
85,"Coconut Point",30.26270771,NA,0,853.526591093287,1,0,-20
86,"Coconut Point",29.76473141,NA,0,1205.37688593327,1,0,-20
87,"Coconut Point",28.302010535,NA,0,3322.3525683214,1,0,-20
88,"Coconut Point",NA,NA,0,NA,NA,NA,NA
89,"Coconut Point",30.390101435,NA,0,781.389774022519,1,0,-20
90,NA,33.29950142,37.81980705,0.503571293525691,104.004243279443,0.995181496277734,0.00481850372226559,-5.33046168003997
91,NA,NA,35.36086464,2.76870310572513,NA,NA,NA,NA
92,NA,35.139375685,32.66007423,18.0009453445467,29.0531827879223,0.617441740842173,0.382558259157828,-0.478703764044796
93,NA,NA,33.988740925,7.1668247339008,NA,NA,NA,NA
94,NA,NA,34.576856615,4.76745190215758,NA,NA,NA,NA
95,NA,36.26916885,34.16670418,6.33511504398445,13.2767593944471,0.676975545408851,0.323024454591149,-0.739907119098821
96,NA,NA,37.07651138,0.842976091169806,NA,NA,NA,NA
97,NA,NA,38.43862915,0.327926829967842,NA,NA,NA,NA
98,NA,NA,39.247655865,0.18716974223736,NA,NA,NA,NA
99,NA,NA,32.426469805,21.1649502674041,NA,NA,NA,NA
100,NA,NA,NA,0,NA,NA,NA,NA
101,NA,NA,38.278858185,0.366330267986594,NA,NA,NA,NA
