File Name,08_05_20_ahyac2019_fields1-4_5sites.pcrd,,,,
Created By User,admin,,,,
Notes,,,,,
ID,,,,,
Run Started,08/05/2020 19:15:35 UTC,,,,
Run Ended,08/05/2020 20:46:20 UTC,,,,
Sample Vol,10,,,,
Lid Temp,105,,,,
Protocol File Name,SymbiodiniumCD_MN.prcl,,,,
Plate Setup File Name,08_05_20_ahyac2019_fields1-4_5sites.pltd,,,,
Base Serial Number,CT016393,,,,
Optical Head Serial Number,785BR12182,,,,
CFX Manager Version,3.1.1517.0823. ,,,,
,,,,,
Well group,All Wells,,,,
Amplification step,4,,,,
Melt step,,,,,
,,,,,
,,,,,
Well,Fluor,Target,Content,Sample,Cq
C09,VIC,,Unkn,Alu_F3,NaN
C10,VIC,,Unkn,Alu_F4,NaN
C11,VIC,,Unkn,Alu_F4,NaN
C12,VIC,,Unkn,Alu_F4,NaN
D01,VIC,,Unkn,Tele_F1,30.79151004
D02,VIC,,Unkn,Tele_F1,30.44133736
D03,VIC,,Unkn,Tele_F1,30.99671082
D04,VIC,,Unkn,Tele_F2,22.47570765
D05,VIC,,Unkn,Tele_F2,22.27848392
D06,VIC,,Unkn,Tele_F2,22.41561833
D07,VIC,,Unkn,Tele_F3,26.57804676
D08,VIC,,Unkn,Tele_F3,26.23134657
D09,VIC,,Unkn,Tele_F3,25.89300749
D10,VIC,,Unkn,Tele_F4,37.55676867
D11,VIC,,Unkn,Tele_F4,36.62711047
D12,VIC,,Unkn,Tele_F4,39.03243817
E01,VIC,,Unkn,Vat_F1,NaN
E02,VIC,,Unkn,Vat_F1,NaN
E03,VIC,,Unkn,Vat_F1,NaN
E04,VIC,,Unkn,Vat_F2,NaN
E05,VIC,,Unkn,Vat_F2,NaN
E06,VIC,,Unkn,Vat_F2,NaN
E07,VIC,,Unkn,Vat_F3,NaN
E08,VIC,,Unkn,Vat_F3,NaN
E09,VIC,,Unkn,Vat_F3,NaN
E10,VIC,,Unkn,Vat_F4,NaN
E11,VIC,,Unkn,Vat_F4,NaN
E12,VIC,,Unkn,Vat_F4,NaN
F01,VIC,,Neg Ctrl,negativecontrol,NaN
F02,VIC,,Neg Ctrl,negativecontrol,NaN
F03,VIC,,Neg Ctrl,negativecontrol,NaN
