File Name,10_14_20_ahyac2012_fields5-8.pcrd,,,,
Created By User,admin,,,,
Notes,,,,,
ID,,,,,
Run Started,10/15/2020 00:36:06 UTC,,,,
Run Ended,10/15/2020 02:06:19 UTC,,,,
Sample Vol,10,,,,
Lid Temp,105,,,,
Protocol File Name,SymbiodiniumCD_MN.prcl,,,,
Plate Setup File Name,10_14_20_ahyac2012_fields5-8.pltd,,,,
Base Serial Number,CT016393,,,,
Optical Head Serial Number,785BR12182,,,,
CFX Manager Version,3.1.1517.0823. ,,,,
,,,,,
Well group,All Wells,,,,
Amplification step,4,,,,
Melt step,,,,,
,,,,,
,,,,,
Well,Fluor,Target,Content,Sample,Cq
E04,VIC,,Unkn,AluF6,NaN
E05,VIC,,Unkn,AluF6,NaN
E06,VIC,,Unkn,AluF6,NaN
F01,VIC,,Unkn,CocoIIF7,NaN
F02,VIC,,Unkn,CocoIIF7,NaN
F03,VIC,,Unkn,CocoIIF7,NaN
F04,VIC,,Unkn,AluF7,NaN
F05,VIC,,Unkn,AluF7,NaN
F06,VIC,,Unkn,AluF7,NaN
G01,VIC,,Unkn,CocoIIF8,NaN
G02,VIC,,Unkn,CocoIIF8,NaN
G03,VIC,,Unkn,CocoIIF8,NaN
G04,VIC,,Unkn,AluF8,NaN
G05,VIC,,Unkn,AluF8,NaN
G06,VIC,,Unkn,AluF8,NaN
H01,VIC,,Unkn,TeleF5,38.3661152372787
H02,VIC,,Unkn,TeleF5,36.8613053505602
H03,VIC,,Unkn,TeleF5,NaN
H04,VIC,,Unkn,VatiaF5,30.3980829530507
H05,VIC,,Unkn,VatiaF5,30.5117025404606
H06,VIC,,Unkn,VatiaF5,30.526900783491
